cliente_id,data,valor,tipo
1,2022-06-28,189.74,mensalidade
1,2022-07-15,138.94,compra
1,2022-08-02,131.27,compra
1,2022-09-10,131.27,mensalidade
1,2022-10-10,276.34,compra
1,2022-10-01,21.14,cashback
1,2022-10-10,112.44,compra
1,2022-11-09,193.4,compra
1,2022-11-12,169.36,compra
1,2022-12-12,3.06,compra
1,2022-12-24,68.97,compra
1,2022-12-24,175.14,compra
1,2022-12-20,267.25,compra
1,2022-12-20,131.94,compra
1,2023-01-18,106.45,mensalidade
1,2023-02-12,158.87,compra
1,2023-02-02,101.95,mensalidade
1,2023-03-09,126.66,compra
1,2023-03-20,148.92,compra
1,2023-03-14,6.54,cashback
1,2023-03-15,215.8,compra
1,2023-03-11,52.33,compra
1,2023-04-01,4.38,cashback
1,2023-04-10,165.75,mensalidade
1,2023-04-13,209.08,compra
1,2023-05-14,163.71,compra
1,2023-05-08,140.75,compra
1,2023-05-18,125.91,compra
1,2023-06-15,113.15,compra
1,2023-06-11,234.57,compra
1,2023-06-02,175.93,compra
1,2023-07-05,-119.19,reembolso
1,2023-07-14,95.85,compra
1,2023-08-03,198.93,mensalidade
1,2023-08-05,232.48,mensalidade
1,2023-08-20,224.5,compra
1,2023-09-18,82.86,mensalidade
1,2023-09-02,125.26,mensalidade
1,2023-09-18,111.67,compra
1,2023-10-07,135.15,compra
1,2023-10-12,215.0,mensalidade
1,2023-10-08,258.5,compra
1,2023-10-14,178.93,mensalidade
1,2023-11-05,98.39,compra
1,2023-10-30,147.13,compra
1,2023-11-14,275.17,compra
1,2023-12-09,156.96,compra
1,2023-12-25,126.08,compra
1,2023-12-09,132.43,compra
1,2023-12-23,178.57,mensalidade
1,2023-12-08,8.53,cashback
1,2024-01-05,109.86,mensalidade
1,2023-12-28,223.23,mensalidade
2,2022-11-07,176.3,compra
2,2022-10-18,157.77,mensalidade
2,2022-10-27,227.49,mensalidade
2,2022-12-06,93.84,compra
2,2022-11-24,123.79,compra
2,2022-12-09,173.69,compra
2,2022-12-01,170.88,compra
2,2022-12-22,36.77,compra
2,2023-01-11,116.35,compra
2,2023-01-24,137.1,compra
2,2023-02-02,182.32,mensalidade
2,2023-02-07,17.06,cashback
2,2023-01-24,144.04,compra
2,2023-01-20,3.5,compra
2,2023-03-07,147.88,compra
2,2023-03-23,154.82,compra
2,2023-03-23,347.06,compra
2,2023-03-17,134.61,compra
2,2023-04-06,174.12,compra
2,2023-04-13,241.43,compra
2,2023-04-23,210.15,mensalidade
2,2023-05-06,262.22,mensalidade
2,2023-04-23,37.85,compra
2,2023-04-17,70.76,compra
2,2023-04-19,104.7,compra
2,2023-05-26,25.95,mensalidade
2,2023-06-07,155.49,compra
2,2023-05-31,7.65,cashback
2,2023-05-19,273.99,compra
2,2023-06-16,8.73,cashback
2,2023-07-03,124.24,mensalidade
2,2023-07-29,215.08,mensalidade
2,2023-08-05,51.53,compra
2,2023-08-31,21.4,compra
2,2023-09-05,164.77,mensalidade
2,2023-08-22,170.79,compra
2,2023-09-09,212.55,compra
2,2023-09-26,191.76,mensalidade
2,2023-09-25,173.76,mensalidade
2,2023-10-06,95.6,compra
2,2023-11-09,168.58,mensalidade
2,2023-12-06,173.45,compra
2,2023-12-23,92.85,compra
2,2024-01-02,299.26,mensalidade
2,2024-01-08,187.91,compra
2,2024-01-08,72.03,compra
2,2024-01-12,212.97,mensalidade
3,2022-12-04,227.07,mensalidade
3,2023-01-26,183.02,compra
3,2023-01-24,130.37,compra
3,2023-01-03,89.7,compra
3,2022-12-30,143.83,mensalidade
3,2023-02-23,177.29,mensalidade
3,2023-02-13,151.04,compra
3,2023-02-03,266.28,compra
3,2023-02-21,200.05,compra
3,2023-03-28,81.43,compra
3,2023-03-01,6.43,cashback
3,2023-02-28,18.86,cashback
3,2023-04-15,132.12,compra
3,2023-04-16,20.71,cashback
3,2023-03-31,18.79,cashback
3,2023-05-07,144.17,mensalidade
3,2023-05-12,82.26,mensalidade
3,2023-05-18,28.81,compra
3,2023-06-13,16.71,cashback
3,2023-06-12,50.34,mensalidade
3,2023-06-25,79.29,mensalidade
3,2023-06-01,-162.3,reembolso
3,2023-06-24,154.66,mensalidade
3,2023-07-12,58.56,mensalidade
3,2023-07-06,236.64,compra
3,2023-07-04,234.3,compra
3,2023-07-23,191.2,mensalidade
3,2023-07-01,19.11,cashback
3,2023-08-02,191.2,mensalidade
